구분,주소,등록번호,cmpNm,연락처,대표,sggNm,보증보험,REG_YMD
석촌동,서울특별시 송파구 가락로6길 3 1층(석촌동),11710-2022-00153,(송파헬리오)강남공인중개사사무소,02-419-9600,이효성,송파구,유,20220506
석촌동,서울특별시 송파구 삼학사로6길 18 1층(석촌동),9253-7060,119공인중개사사무소,02-415-1119,김장용,송파구,유,20081009
석촌동,서울특별시 송파구 백제고분로36가길 17 1층(석촌동),11710-2018-00143,3·3공인중개사사무소,02-420-3434,허성길,송파구,유,20180323
석촌동,서울특별시 송파구 백제고분로33길 16 1층 (석촌동),11710-2015-00213,OK공인중개사사무소,02-2203-1777,김기형,송파구,유,20150817
석촌동,서울특별시 송파구 가락로 77 1층 (석촌동),9253-2701,STAR-경성공인중개사사무소,400-7070,고승균,송파구,유,20010227
석촌동,서울특별시 송파구 백제고분로33길 15 1층(석촌동),11710-2020-00284,VIP공인중개사사무소,"02-421-7400, 02-421-7399, 070-7715-8280. 02-421-7397",노미영,송파구,유,20201105
석촌동,"서울특별시 송파구 가락로 75 , 1층 (석촌동)",9253-2420,가락공인중개사사무소,02-419-4988,박성호,송파구,유,20000406
석촌동,서울특별시 송파구 송파대로37길 4 1층(석촌동),9253-9126,가락랜드공인중개사사무소,02-414-3900,김해경,송파구,유,20140709
석촌동,"서울특별시 송파구 가락로 103 108호(석촌동, 엄마손백화점)",11710-2018-00157,가야공인중개사사무소,-,조정식,송파구,유,20180329
석촌동,"서울특별시 송파구 백제고분로39길 18 1층 (석촌동, 지원빌딩)",11710-2017-00390,곰돌이공인중개사사무소,02-414-3336,박상하,송파구,유,20171101
석촌동,서울특별시 송파구 가락로11길 33 1층 (석촌동),11710-2018-00221,굿모닝공인중개사사무소,02-423-2366,박철현,송파구,,
석촌동,서울특별시 송파구 가락로5길 3 (석촌동),9253-4275,금성공인중개사사무소,424-1230,서이임,송파구,유,20031219
석촌동,서울특별시 송파구 송파대로43길 16 1층(석촌동),11710-2020-00278,금오공인중개사사무소,02-424-7337,이연옥,송파구,유,20201028
석촌동,"서울특별시 송파구 백제고분로39길 12 103호 (석촌동, 서희빌딩)",11710-2015-00136,금탑공인중개사사무소,02-418-9877,임창미,송파구,유,20150513
석촌동,서울특별시 송파구 가락로 102 지하1층(석촌동),11710-2022-00216,꿀비공인중개사사무소,-,정종민,송파구,유,20220811
석촌동,서울특별시 송파구 가락로 50 1층 (석촌동),11710-2020-00124,꿈꾸는헬리오부동산공인중개사사무소,02-415-0909,김선희,송파구,유,20040318
석촌동,서울특별시 송파구 가락로11길 15 (석촌동),9252-2500,낙원공인중개사사무소,425-3860,권진숙,송파구,유,20020705
석촌동,서울특별시 송파구 가락로 66 1층 (석촌동),11710-2015-00322,남일공인중개사사무소,413-6500,김익실,송파구,유,20151222
석촌동,서울특별시 송파구 백제고분로 328 101호(석촌동),11710-2022-00125,내마음공인중개사사무소,02-424-0775,김경로,송파구,유,20220414
석촌동,서울특별시 송파구 백제고분로40길 19 102호(석촌동),11710-2016-00083,다올공인중개사사무소,02-420-4884\n02-420-4883,최재우,송파구,유,20160309
석촌동,서울특별시 송파구 가락로 38 1층 (석촌동),가9252-1059,달성부동산중개사무소,417-1954,서태혁,송파구,유,19850418
석촌동,서울특별시 송파구 가락로 34 1층(석촌동),11710-2021-00226,당신의공인중개사사무소,02-412-4258,김동혁,송파구,유,20200625
석촌동,서울특별시 송파구 가락로 79 1층(석촌동),9253-8995,대박공인중개사사무소,"02-418-3660,412-0066,402-5970,3401-8555",이우용,송파구,유,20140127
석촌동,서울특별시 송파구 백제고분로33길 14 (석촌동),9253-6088,대성공인중개사사무소,02-420-5454,최원희,송파구,유,20061226
석촌동,서울특별시 송파구 가락로 66 (석촌동),9253-2022,대신공인중개사사무소,425-5959,최낙서,송파구,유,19990517
석촌동,서울특별시 송파구 가락로5길 10 1층(석촌동),9253-9034,대원공인중개사사무소,6053-8895,견종강,송파구,유,20140313
석촌동,서울특별시 송파구 가락로11길 35 1층(석촌동),11710-2015-00140,대지공인중개사사무소,"416-1444, 424-9876",윤여학,송파구,유,20150518
석촌동,서울특별시 송파구 송파대로37길 4-21 1층 (석촌동),9253-7232,대학사공인중개사사무소,402-2404,김남조,송파구,유,20090304
석촌동,서울특별시 송파구 백제고분로33길 12 (석촌동),9253-8677,대한공인중개사사무소,02-416-3333,이샘,송파구,유,20130117
석촌동,서울특별시 송파구 백제고분로34길 19 102호 (석촌동),11710-2022-00080,더리더스공인중개사사무소,02-416-5556,강효선,송파구,유,20220224
석촌동,서울특별시 송파구 백제고분로39길 33 (석촌동),가9252-1875,더존부동산중개인사무소,"02-425-5454, 02-422-5744, 02-419-4805, 02-416-1882",김성호,송파구,유,19860704
석촌동,서울특별시 송파구 백제고분로39길 10 1층(석촌동),11710-2016-00436,동양공인중개사사무소,02-414-4848,김강진,송파구,유,20161121
석촌동,서울특별시 송파구 송파대로37길 70 1층8호 (석촌동),나9252-19-140,동우부동산중개인사무소,418-3030,최낙상,송파구,유,19840613
석촌동,서울특별시 송파구 송파대로39길 1 1층(석촌동),11710-2021-00240,드림공인중개사사무소,-,이민자,송파구,유,20211008
석촌동,서울특별시 송파구 가락로11길 8 1층(석촌동),11710-2020-00258,래미안공인중개사사무소,02-421-7800,박재원,송파구,유,20201006
석촌동,서울특별시 송파구 삼학사로10길 18 103호(석촌동),11710-2018-00042,로얄공인중개사사무소,02-422-9997,윤형준,송파구,유,20180125
석촌동,"서울특별시 송파구 석촌호수로 188 115호 (석촌동, 신동아로쟌뷰)",9253-7968,롯데월드공인중개사사무소,02-412-8985,고연수,송파구,유,20101006
석촌동,서울특별시 송파구 가락로6길 4-8 101호(석촌동),11710-2021-00098,리안공인중개사사무소,02-3432-7117,이성훈,송파구,유,20201105
석촌동,서울특별시 송파구 가락로 102 지하1층(석촌동),11710-2022-00212,매머드공인중개사사무소,-,이호,송파구,유,20220804
