구분,주소,등록번호,부동산명,연락처,대표,sggNm,보증보험,등록일자
송파동,서울특별시 송파구 송파대로44길 5 2층 (송파동),11710-2022-00255,공감부동산공인중개사사무소,-,남경근,송파구,유,2022-10-20
송파동,서울특별시 송파구 가락로21길 58-1 101호 (송파동),11710-2022-00253,다우공인중개사사무소,-,유성규,송파구,무,2022-10-14
석촌동,서울특별시 송파구 삼학사로18길 16 103호 (석촌동),11710-2022-00248,삼성공인중개사사무소,02-412-2500,김은경,송파구,유,2022-10-05
송파동,서울특별시 송파구 가락로 133 3층 (가락동),11710-2022-00241,유선공인중개사사무소,-,김유선,송파구,유,2022-09-27
송파동,서울특별시 송파구 가락로 139 1층 (송파동),11710-2022-00238,리빙홈공인중개사사무소,02-412-7744,박기연,송파구,유,2022-09-26
송파동,"서울특별시 송파구 송파대로48길 37 상가동 102호 (송파동, 호수임광아파트)",11710-2022-00232,엘리트공인중개사사무소,02-417-4200,윤제일,송파구,유,2022-09-13
송파동,서울특별시 송파구 백제고분로42길 32 1층 (송파동),11710-2022-00229,나무공인중개사사무소,02-6949-2616,정슬기,송파구,유,2022-09-06
석촌동,서울특별시 송파구 가락로 102 지하1층(석촌동),11710-2022-00216,꿀비공인중개사사무소,-,정종민,송파구,유,2022-08-11
석촌동,서울특별시 송파구 가락로 102 지하1층(석촌동),11710-2022-00212,매머드공인중개사사무소,-,이호,송파구,유,2022-08-04
송파동,"서울특별시 송파구 석촌호수로 284 419호(송파동, 현대레이크빌)",11710-2022-00170,잠실방송공인중개사사무소,02-2202-0114,박재영,송파구,유,2022-05-31
석촌동,서울특별시 송파구 가락로6길 3 1층(석촌동),11710-2022-00153,(송파헬리오)강남공인중개사사무소,02-419-9600,이효성,송파구,유,2022-05-06
송파동,"서울특별시 송파구 오금로32길 31 근린생활시설동 115호(송파동, 래미안송파파인탑)",11710-2022-00149,OK파인탑단지내공인중개사사무소,02-414-1159,이계숙,송파구,유,2022-05-03
송파동,서울특별시 송파구 백제고분로46길 19-1 1층(송파동),11710-2022-00147,송파한양공인중개사사무소,02-424-0450,권귀순,송파구,유,2022-05-03
송파동,서울특별시 송파구 오금로 170 3층(송파동),11710-2022-00146,주식회사부동산중개법인다올,-,임동갑,송파구,유,2022-05-03
석촌동,서울특별시 송파구 가락로 102 지하1층[503호](석촌동),11650-2021-00199-003,주식회사온택트부동산중개파트너스(송파점),070-8805-9312,박정도,서초구,유,2022-04-19
석촌동,서울특별시 송파구 백제고분로 328 101호(석촌동),11710-2022-00125,내마음공인중개사사무소,02-424-0775,김경로,송파구,유,2022-04-14
석촌동,서울특별시 송파구 삼학사로12길 14 1층(석촌동),11710-2022-00115,신한공인중개사사무소,"02-420-6420, 02-417-4894",박진우,송파구,유,2022-04-05
