"bldrgstPk","bldNm","sggNm","bjdongNm","beonji","regstrKindNm","mainPurpsNm","strctNm","totarea","flrCnt","platArea","archArea","bcRat","vlRat","etcStrct","etcRoof","pmsDay","stcnsDay","useaprDay"
"11710-100446966","LG하이프라자","송파구","송파동","7","일반건축물","판매시설 외1","일반철골구조","2181.96","5/0","886.3","527.82","59.55","208.08","일반철골구조","평지붕","20120913","20120920","20130206"
"11710-16142","잠실 아르누보 팰리스","송파구","송파동","7-1","표제부","공동주택(근린생활시설)","철근콘크리트구조","15148.03","20/3","2395.3","802.62","33.51","399.73","철근콘크리트구조","철근콘크리트, 평슬라브","20050331","20050512","20071126"
"11710-13290","선일타워","송파구","송파동","7-4","일반건축물","교육연구시설 외2","철근콘크리트구조","2233.41","5/2","589.9","309.21","52.42","240.38","철근콘크리트구조","스라브","19871211",,"19881231"
"11710-13433",,"송파구","송파동","7-7","일반건축물","제1종근린생활시설 외 1","철근콘크리트구조","1040.21","6/1","316.4","155.99","49.3","239.78","철근콘크리트구조 외 1","박공지붕","19930707","199308","19940602"
"11710-21931","보명빌딩","송파구","송파동","7-8","일반건축물","업무시설,근린생활시설","철근콘크리트구조","2072.36","6/1","440.3","292.73","66.48","384.62","철근콘크리트라멘조","평슬라브","19930802","19931019","19840825"
"11710-21183",,"송파구","송파동","7-12","일반건축물","근린생활시설","철근콘크리트구조","1573.83","6/1","394.5","223.97","56.77","323.96","철근콘크리트조","평스라브","19930217","19930909","19940607"
"11710-15200","산동빌딩","송파구","송파동","8","일반건축물","근린생활시설, 주택","철근콘크리트구조","680.21","4/1","0","0","0","0","철근콘크리트조, 세멘벽돌조","평스라브","19880505",,"19880919"
"11710-11001",,"송파구","송파동","8-1","일반건축물","단독주택","벽돌구조","366.58","3/1","0","0","0","0","벽돌구조","평슬라브","19870909",,"19880427"
"11710-16113",,"송파구","송파동","8-2","일반건축물","근린생활시설","철근콘크리트구조","1408.47","6/1","384","198.02","51.57","291.99","철근콘크리트","평스라브","19920415","199205","19921230"
"11710-100473736",,"송파구","송파동","8-3","일반건축물","제2종근린생활시설","일반철골구조","838.5","3/0","525.7","310.83","59.13","159.5","일반철골구조","(철근)콘크리트","20150724","20150810","20151120"
"11710-14834",,"송파구","송파동","8-4","일반건축물","근린생활시설","철근콘크리트구조","415.76","4/1","165.3","82.47","49.89","179.26","철근콘크리트조","평스라브","19910514","19910609","19911026"
"11710-100563723",,"송파구","송파동","8-5","일반건축물","다가구주택,근린생활시설","철근콘크리트구조","373.65","4/0","198.4","118.85","59.9042","188.3316","철근콘크리트구조","(철근)콘크리트","20210416","20210712","20220314"
"11710-18252",,"송파구","송파동","8-6","일반건축물","다가구주택(6가구) 외2","철근콘크리트구조","489.98","5/1","215.2","107.01","49.73","198.14","철근콘크리트구조 외1","(철근)콘크리트평지붕","19901226","1991010","19910704"
"11710-10011",,"송파구","송파동","8-7","일반건축물","주택","벽돌구조","355.22","3/1","0","0","0","0","벽돌구조","평스라브","19861202",,"19870417"
"11710-3765",,"송파구","송파동","8-8","일반건축물","단독주택외1","벽돌구조","433.36","4/1","186.59","93.24","49.97","168.19","철근콘크리트조, 세멘벽돌조","스라브","19860703",,"19861013"
"11710-4082",,"송파구","송파동","8-9","일반건축물","단독주택","벽돌구조","355.22","3/1","186.5","91","48.79","139.05","벽돌구조","스라브","19860701",,"19861008"
"11710-5386",,"송파구","송파동","8-10","일반건축물","근린생활시설, 주택","철근콘크리트구조","493.65","3/1","264.4","0","0","0","철근콘크리트조, 연와조","평스라브","19860703",,"19861007"
"11710-21907",,"송파구","송파동","8-11","일반건축물","근린생활시설, 주택","철근콘크리트구조","415.26","4/1","0","0","0","0","철근콘크리트조, 세멘벽돌조","평스라브","19880402",,"19880808"
"11710-23368",,"송파구","송파동","8-12","일반건축물","다가구주택(13가구)","철근콘크리트구조","408","3/1","198.9","119.1","59.88","150.91","철근콘크리트조","경사스라브,","19950613","19950630","19960228"
"11710-21172",,"송파구","송파동","8-13","일반건축물","근린생활시설외1","철근콘크리트구조","860.58","4/1","363.8","177.48","48.78","187.76","철근콘크리트조","평스라브","19901229","19901229","19901229"
"11710-9048",,"송파구","송파동","8-17","일반건축물","다가구주택(13가구)","철근콘크리트구조","408","3/1","198.8","119.1","59.91","150.99","철근콘크리트조","경사스라브,","19950613","19950630","19960419"
"11710-25338",,"송파구","송파동","9","일반건축물","다가구주택 외 2","철근콘크리트구조","465.72","4/1","201.5","98.91","49.08","173.08","철근콘크리트구조 외 1","평스라브","19870903",,"19871231"
"11710-23121",,"송파구","송파동","9-1","표제부","공동주택(다세대주택)","철근콘크리트구조","464.55","5/0","204.8","126.11","61.58","226.83","철근콘크리트구조","(철근)콘크리트,평스라브","20030614","20030721","20040630"
"11710-100476058",,"송파구","송파동","9-2","표제부","다세대주택","철근콘크리트구조","342.87","5/0","180.7","108.24","59.9","189.75","철근콘크리트구조","평슬라브","20150611","20150810","20160120"
"11710-9886",,"송파구","송파동","9-3","일반건축물","근린생활시설, 주택","철근콘크리트구조","298.65","3/1","0","0","0","0","철근콘크리트조, 세멘벽돌조","평스라브","19880427",,"19881205"
"11710-8738",,"송파구","송파동","9-4","표제부","공동주택","철근콘크리트구조","492.15","5/0","214.8","128.25","59.7","229.12","철근콘크리트구조","평스라브","20030626","20030628","20040506"
"11710-15147",,"송파구","송파동","9-5","표제부","공동주택","철근콘크리트구조","496.75","5/0","214.8","128.16","59.66","231.26","철근콘크리트구조","평스라브","20020507","20020521","20021108"
"11710-17694",,"송파구","송파동","9-6","일반건축물","다가구주택(14가구)","철근콘크리트구조","500.01","3/1","214.8","126.96","59.11","177.32","철근콘크리트조","평스라브","19950728","19950916","19960516"
"11710-7491",,"송파구","송파동","9-7","일반건축물","다가구용주택(14가구)","철근콘크리트구조","496.8","3/1","214.8","127.1","59.17","173.46","철근콘크리트조,","평스라브","19960701","19960827","19970531"
"11710-19011",,"송파구","송파동","9-8","표제부","공동주택","철근콘크리트구조","549.36","5/0","214.9","152.88","71.14","255.64","철근콘크리트구조","판넬구조","20020121","20020614","20020916"
"11710-16429",,"송파구","송파동","9-9","일반건축물","근린생활시설, 주택","철근콘크리트구조","661.5","3/1","0","0","0","0","철근콘크리트구조","평스라브","19860217",,"19860723"
"11710-17217",,"송파구","송파동","9-10","일반건축물","근린생활시설, 다가구주택","철근콘크리트구조","715.19","5/1","246.9","147.14","59.59","284.81","철근콘크리트조","평스라브","20010302","20010725","20011226"
"11710-15965",,"송파구","송파동","9-11","표제부","다세대주택","철근콘크리트구조","435.8","5/0","204.9","122.84","59.95","212.68","철근콘크리트조","경사 슬라브","20010703","20010922","20020116"
